Institute ID,Name,City,State,Score,Rank
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,1
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.99,2
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.02,3
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,62.06,4
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.23,5
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,60.74,6
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,60.58,7
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.33,8
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,59.71,9
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.97,10
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.34,11
IR-O-U-0120,University of Delhi,Delhi,Delhi,57.09,12
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,56.63,13
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,56.44,14
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,56.1,15
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.97,16
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,54.74,17
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,53.24,18
IR-O-U-0235,Mysore University,Mysuru,Karnataka,52.68,19
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,52.34,20
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.06,21
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,51.83,22
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,51.59,23
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,51.1,24
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,50.9,25
IR-O-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,50.65,26
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,50.52,27
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,50.46,28
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,50.36,29
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,49.98,30
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,49.3,31
IR-O-U-0027,Osmania University,Hyderabad,Telangana,49.16,32
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,49.09,33
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,48.79,34
IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,48.57,35
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,48.57,35
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,48.37,37
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,48.22,38
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,48.21,39
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.17,40
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,48.02,41
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,48.01,42
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,47.6,43
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,47.37,44
IR-O-U-0052,Gauhati University,Guwahati,Assam,47.35,45
IR-O-U-0056,Tezpur University,Tezpur,Assam,47.27,46
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,47.17,47
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,46.97,48
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,46.74,49
IR-O-U-0458,Kalasalingam Academy of Research and Higher Education,Srivilliputtur,Tamil Nadu,46.52,50
IR-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,46.44,51
IR-O-U-0747,Chandigarh University,Mohali,Punjab,46.15,52
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,45.67,53
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,45.61,54
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,45.44,55
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,45,56
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,44.63,57
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,44.36,58
IR-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,44.24,59
IR-O-U-0251,Calicut University,Malappuram,Kerala,44.13,60
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,44.05,61
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,43.33,62
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,43.32,63
IR-O-U-0589,Visva Bharati,Santiniketan,West Bengal,42.76,64
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,42.63,65
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,42.52,66
IR-O-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,42.13,67
IR-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,42.1,68
IR-O-U-0215,Bangalore University,Bangalore,Karnataka,41.98,69
IR-O-U-0464,Manonmaniam Sundaranar University,Tirunelveli,Tamil Nadu,41.67,70
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,41.56,71
IR-O-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,41.47,72
IR-O-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,41.38,73
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,41.38,73
IR-O-U-0444,Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,41.24,75
IR-O-U-0298,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,41.14,76
IR-O-U-0239,NITTE,Mangaluru,Karnataka,41.04,77
IR-O-I-1280,Maharshi Dayanand University,Rohtak,Haryana,41.03,78
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,40.79,79
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,40.42,80
IR-O-U-0232,Kuvempu University,Shimoga,Karnataka,40.4,81
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,40.37,82
IR-O-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,40.2,83
IR-O-U-0372,Central University of Punjab,Bathinda,Punjab,39.99,84
IR-O-U-0569,The University of Burdwan,Bardhaman,West Bengal,39.98,85
IR-O-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,39.86,86
IR-O-U-0366,Utkal University,Bhubaneswar,Odisha,39.8,87
IR-O-U-0162,Guru Jambheshwar University of Science and Technology,Hisar,Haryana,39.66,88
IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,39.53,89
IR-O-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,39.48,90
IR-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,39.44,91
IR-O-U-0451,Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,39.26,92
IR-O-U-0050,Assam University,Silchar,Assam,39.21,93
IR-O-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,39.06,94
IR-O-U-0744,Ashoka University,Sonepat,Haryana,39.02,95
IR-O-U-0121,Goa University,Goa,Goa,38.96,96
IR-O-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,38.92,97
IR-O-U-0555,Graphic Era University,Dehradun,Uttarakhand,38.91,98
IR-O-U-0223,"Jain university, Bangalore",Bengluru,Karnataka,38.89,99
IR-O-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,38.88,100
